Predictor,Dataset,History Size,Cache Size,Prediction with Cache Cost,Prediction with Cache Benefit,Simple LRU Cache Cost,Simple LRU Cache Benefit,No Cache Cost
BWT,BIBLE.txt_sequences.txt,3,3,10.922400,11.450200,10.773400,11.353600,22.127000
BWT,BIBLE.txt_sequences.txt,5,3,11.225800,11.478200,10.769400,11.357600,22.127000
BWT,BIBLE.txt_sequences.txt,7,3,10.834400,11.421000,10.769400,11.357600,22.127000
BWT,BMS1_spmf.txt_sequences.txt,3,3,1.276644,2.270295,1.276644,2.270295,3.546939
BWT,BMS1_spmf.txt_sequences.txt,5,3,1.282086,2.305215,1.255782,2.291156,3.546939
BWT,BMS1_spmf.txt_sequences.txt,7,3,1.292517,2.287982,1.255782,2.291156,3.546939
BWT,FIFA.txt_sequences.txt,3,3,21.668600,14.626600,21.637000,14.456000,36.093000
BWT,FIFA.txt_sequences.txt,5,3,21.820200,14.846600,21.631200,14.461800,36.093000
BWT,FIFA.txt_sequences.txt,7,3,22.053400,15.060200,21.631200,14.461800,36.093000
BWT,Kosarak_converted.txt_sequences.txt,3,3,6.491429,1.932321,6.491429,1.932321,8.423750
BWT,Kosarak_converted.txt_sequences.txt,5,3,6.521102,1.954191,6.490897,1.932853,8.423750
BWT,Kosarak_converted.txt_sequences.txt,7,3,6.722603,1.991429,6.490897,1.932853,8.423750
BWT,LEVIATHAN.txt_sequences.txt,3,3,16.951000,16.212200,16.582400,16.163000,32.745400
BWT,LEVIATHAN.txt_sequences.txt,5,3,17.505800,16.340200,16.579200,16.166200,32.745400
BWT,LEVIATHAN.txt_sequences.txt,7,3,16.651000,16.177200,16.579200,16.166200,32.745400
BWT,MSNBC.txt_sequences.txt,3,3,0.003600,12.181800,0.003400,12.181600,12.185000
BWT,MSNBC.txt_sequences.txt,5,3,0.000000,12.185000,0.000000,12.185000,12.185000
BWT,MSNBC.txt_sequences.txt,7,3,0.000000,12.185000,0.000000,12.185000,12.185000
BWT,SIGN.txt_sequences.txt,3,3,13.373973,37.623288,13.373973,37.623288,50.997260
BWT,SIGN.txt_sequences.txt,5,3,14.698630,37.927397,13.302740,37.694521,50.997260
BWT,SIGN.txt_sequences.txt,7,3,14.878082,38.068493,13.302740,37.694521,50.997260
BWT,BMS2_converted_sequences.txt,3,3,3.762191,0.744431,3.762191,0.744431,4.506623
BWT,BMS2_converted_sequences.txt,5,3,3.820289,0.775738,3.756773,0.749849,4.506623
BWT,BMS2_converted_sequences.txt,7,3,3.903070,0.776340,3.756773,0.749849,4.506623
BWT,NASA_access_log_Aug95_converted_sequences.txt,3,3,1.635800,3.475400,1.626000,3.476000,5.102000
BWT,NASA_access_log_Aug95_converted_sequences.txt,5,3,1.640600,3.480600,1.622200,3.479800,5.102000
BWT,NASA_access_log_Aug95_converted_sequences.txt,7,3,1.656600,3.483200,1.622200,3.479800,5.102000
BWT,NASA_access_log_Jul95_converted_sequences.txt,3,3,1.943400,3.746000,1.927400,3.751200,5.678600
BWT,NASA_access_log_Jul95_converted_sequences.txt,5,3,1.942800,3.759400,1.920600,3.758000,5.678600
BWT,NASA_access_log_Jul95_converted_sequences.txt,7,3,1.967800,3.762400,1.920600,3.758000,5.678600
